id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
15936265,Chambre-prix modique/ Low-rate room (CITQ 296358),3311965,Daniel,,Sillery,46.77643,-71.25855,Private room,55,1,221,2020-09-07,4.41,2,247
15953122,2 Lits en dortoir,59898149,Auberge Hi-Québec,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81119,-71.2107,Hotel room,44,1,30,2020-01-05,0.58,6,0
15980307,Best Location in Quebec with Three Bedrooms,1562944,Patrice,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81386,-71.21201,Entire home/apt,450,2,4,2020-01-21,0.13,11,365
15998362,"Close to University, Hospital & amenities (Apt. 3)",30614770,Deborah,,Cité Universitaire,46.78395,-71.29915,Entire home/apt,60,32,24,2020-02-20,0.48,2,178
16032168,"Close to University, Hospital & amenities (Apt. 2)",30614770,Deborah,,Cité Universitaire,46.7821,-71.29981,Entire home/apt,60,32,18,2019-12-15,0.38,2,178
16049651,Bord de l'eau - Chalet suisse - Québec,2904660,Mariane,,Lac-Saint-Charles,46.93287,-71.37973,Entire home/apt,150,14,0,,,2,365
16080728,4 1/2 à 15 min. du Vieux Québec WIFI  télétravail,103594438,Jocelyne/Maxime/Eric/,,Saint-Sauveur,46.80915,-71.24313,Entire home/apt,40,31,176,2020-12-22,3.44,2,259
16080903,Chambre au centre-ville de Québec,56041022,Amélie,,Saint-Roch,46.8178,-71.22174,Private room,28,31,14,2020-08-02,0.33,1,129
16083766,"Calme, convivial à 15mn en voiture de tout☆☆☆☆☆",84056175,Lydia & David,,Saint-Émile,46.87414,-71.34289,Entire home/apt,46,1,102,2019-09-22,1.99,1,63
16144460,Superbe condo près du Vieux Quebec.,105348547,Hélène,,Saint-Jean-Baptiste,46.8109,-71.22268,Entire home/apt,60,1,240,2020-03-01,4.77,1,0
16156914,Le Charmant - OLD QUEBEC (1- 4pers) (CITQ #295295),58932059,Laury Jane,,Saint-Roch,46.81354,-71.22614,Entire home/apt,58,1,97,2020-09-16,1.94,6,123
16159832,Hébergement en dortoir féminin,59898149,Auberge Hi-Québec,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81279,-71.21063,Shared room,36,1,108,2020-08-16,2.12,6,0
16159949,Hébergement en dortoir masculin,59898149,Auberge Hi-Québec,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81211,-71.21053,Hotel room,36,1,81,2019-10-12,1.61,6,0
16178519,Apartment BonSéjour 102,36623206,Moussa,,Saint-Roch,46.8135,-71.2278,Entire home/apt,150,2,34,2020-02-17,0.67,3,359
16187166,Appartement au coeur du centre ville,7089088,Yannick,,Saint-Roch,46.8144,-71.22649,Entire home/apt,85,1,299,2020-12-29,5.86,2,343
